EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
38,,Patel,b@gmail.com,67890,2020-02-07,,30000,0.1,102,10
39,Amit,,,INVALID,2020-02-08,HR_REP,-10000, - ,,
40,Ravi,Shah,,67890,2020-02-09,SALES,,0.1,103,
41,Priya,Kumar,,67890,2020-02-10,IT_PROG,-10000, - ,103,30
42,Amit,Kumar,,67890,2020-02-11,,40000,0.1,101,20
43,Priya,,a@gmail.com,67890,2020-02-12,IT_PROG,40000,0.2,,30
44,Ravi,Kumar,,67890,2020-02-13,,,0.1,102,10
45,Ravi,Shah,b@gmail.com,12345,2020-02-14,IT_PROG,-10000,0.1,103,10
46,Amit,,a@gmail.com,INVALID,2020-02-15,,30000,0.2,103,10
47,Ravi,Shah,b@gmail.com,67890,2020-02-16,,,,102,10
48,,,b@gmail.com,,2020-02-17,HR_REP,40000,,102,
49,Ravi,,b@gmail.com,INVALID,2020-02-18,,40000,0.1,103,10
50,Priya,Patel,,INVALID,2020-02-19,HR_REP,,0.2,103,
51,Priya,Shah,,67890,2020-02-20,,-10000,0.1,102,
52,Priya,Kumar,a@gmail.com,12345,2020-02-21,SALES,40000, - ,103,10
53,Priya,Kumar,a@gmail.com,67890,2020-02-22,SALES,-10000, - ,101,10
54,,Shah,,12345,2020-02-23,SALES,40000,0.1,101,20
55,Neha,Kumar,b@gmail.com,,2020-02-24,,40000,,102,30
56,Amit,Kumar,a@gmail.com,INVALID,2020-02-25,HR_REP,50000,,,10
57,Priya,Shah,,,2020-02-26,HR_REP,40000,0.1,102,20
58,Ravi,,,12345,2020-02-27,,30000,0.1,102,20
59,Priya,Shah,,12345,2020-02-28,SALES,, - ,,30
60,Ravi,,b@gmail.com,,2020-02-29,SALES,,,,
61,Ravi,Kumar,,12345,2020-03-01,HR_REP,-10000,0.1,,10
62,Priya,Kumar,,,2020-03-02,SALES,40000, - ,101,30
63,,Kumar,,INVALID,2020-03-03,IT_PROG,30000,,103,10
64,Ravi,Patel,,,2020-03-04,HR_REP,-10000,0.2,101,20
65,Ravi,,a@gmail.com,INVALID,2020-03-05,SALES,50000, - ,103,20
66,Priya,Patel,a@gmail.com,,2020-03-06,HR_REP,-10000,,101,
67,Ravi,Patel,,12345,2020-03-07,IT_PROG,-10000,,103,20
68,Ravi,Shah,b@gmail.com,,2020-03-08,HR_REP,40000, - ,101,20
69,Priya,Patel,a@gmail.com,12345,2020-03-09,HR_REP,50000,0.2,,30
70,Priya,Shah,,,2020-03-10,HR_REP,-10000, - ,102,10
71,Amit,Shah,a@gmail.com,,2020-03-11,HR_REP,30000,,101,10
72,,Patel,a@gmail.com,67890,2020-03-12,IT_PROG,30000,0.1,103,30
73,,,b@gmail.com,12345,2020-03-13,,,0.1,,
74,Ravi,,,67890,2020-03-14,HR_REP,50000, - ,101,10
75,,,,12345,2020-03-15,HR_REP,50000,,101,20
76,Ravi,,b@gmail.com,67890,2020-03-16,SALES,,0.1,,10
77,Amit,,b@gmail.com,INVALID,2020-03-17,HR_REP,-10000,,101,20
78,Priya,Patel,,,2020-03-18,SALES,50000, - ,102,
79,Priya,Patel,,12345,2020-03-19,,30000,0.1,101,30
80,Priya,Kumar,b@gmail.com,12345,2020-03-20,IT_PROG,30000,,102,10
81,,,a@gmail.com,,2020-03-21,IT_PROG,40000,0.1,102,30
82,Amit,Patel,a@gmail.com,12345,2020-03-22,,50000, - ,,10
83,,Kumar,b@gmail.com,12345,2020-03-23,IT_PROG,-10000,,101,20
84,,,a@gmail.com,67890,2020-03-24,,,0.1,,30
85,Amit,Shah,b@gmail.com,12345,2020-03-25,,, - ,101,10
86,Amit,Kumar,a@gmail.com,INVALID,2020-03-26,,-10000,0.1,101,20
87,Amit,Patel,a@gmail.com,INVALID,2020-03-27,IT_PROG,40000,0.1,103,30
88,Amit,Shah,,,2020-03-28,SALES,,0.2,101,30
89,Priya,Shah,,12345,2020-03-29,,50000,0.2,,10
90,Neha,Shah,a@gmail.com,,2020-03-30,HR_REP,40000, - ,102,10
91,Neha,Kumar,a@gmail.com,INVALID,2020-03-31,IT_PROG,50000,0.2,101,10
92,Amit,Patel,,12345,2020-04-01,,30000, - ,103,20
93,Neha,Shah,,12345,2020-04-02,,40000,0.2,,10
94,Neha,,,,2020-04-03,HR_REP,,0.1,101,30
95,Amit,Shah,b@gmail.com,INVALID,2020-04-04,SALES,40000, - ,,30
96,Neha,Shah,a@gmail.com,12345,2020-04-05,SALES,40000, - ,103,10
97,,Kumar,,,2020-04-06,SALES,40000,0.1,103,10
98,Ravi,Kumar,a@gmail.com,INVALID,2020-04-07,,40000, - ,,
99,Ravi,Patel,b@gmail.com,,2020-04-08,,50000, - ,101,30
100,Amit,,b@gmail.com,67890,2020-04-09,,30000,0.2,102,20
